queue_id,batch,priority,lead_id,client,location,service,channel,send_time_pt,estimated_value,phone,email,personalization_hook,status,sent_at,message_id,delivery_status,response_status,response_at,response_summary,next_step,next_step_due_pt
Q260305-011,P2-MEDIUM-VALUE,2,gpass-pnw-207,Green Leaf Landscaping of Washington,Battle Ground WA,Landscaping,email,10:20,800,+13609474166,info@greenleaflandscapingwa.com,Weak brochure site - clear upgrade opportunity,pending,,,,,,fu1_24h_swap_channel,2026-03-06 10:20
Q260305-012,P2-MEDIUM-VALUE,2,gpass-pnw-209,Fitzpatrick Fence & Rail,Portland OR,Fencing,email,10:30,900,+15034537737,fitzpatrickfence@frontier.com,Portland fencing market,pending,,,,,,fu1_24h_swap_channel,2026-03-06 10:30
Q260305-013,P2-MEDIUM-VALUE,2,gpass-pnw-223,A1 Handyman,Boise ID,Handyman,email,10:40,700,+12089956457,mrhandymanid@gmail.com,Boise handyman market,pending,,,,,,fu1_24h_swap_channel,2026-03-06 10:40
Q260305-014,P2-MEDIUM-VALUE,2,gpass-pnw-211,Boise Landscaping and Lawn Care,Boise ID,Landscaping,email,10:45,750,+12086711044,info@landscapinginboise.com,Adjacent metro expansion,pending,,,,,,fu1_24h_swap_channel,2026-03-06 10:45
Q260305-015,P2-MEDIUM-VALUE,2,nosite-001,Perez Landscaping,Seattle WA,Landscaping,sms,10:50,800,+12066029766,,Latino-owned in SeaTac/Tukwila - local market,pending,,,,,,fu1_24h_swap_channel,2026-03-06 10:50
Q260305-016,P2-MEDIUM-VALUE,2,nosite-002,Ligaya Landscaping,Seattle WA,Landscaping,sms,10:52,800,+12063517402,,Downtown Seattle - high-density service area,pending,,,,,,fu1_24h_swap_channel,2026-03-06 10:52
Q260305-017,P2-MEDIUM-VALUE,2,nosite-003,Greenscapes Landscaping,Seattle WA,Landscaping,sms,10:54,800,+12068028186,,West Seattle location,pending,,,,,,fu1_24h_swap_channel,2026-03-06 10:54
Q260305-018,P2-MEDIUM-VALUE,2,nosite-004,Northwest Landscape and Patio Bellevue,Bellevue WA,Landscaping,sms,10:56,800,+14253904959,,Bellevue affluent market,pending,,,,,,fu1_24h_swap_channel,2026-03-06 10:56
Q260305-019,P2-MEDIUM-VALUE,2,nosite-005,Envision Landscaping,Bellevue WA,Landscaping,sms,10:58,800,+12066798525,,Bellevue area,pending,,,,,,fu1_24h_swap_channel,2026-03-06 10:58
Q260305-020,P2-MEDIUM-VALUE,2,nosite-033,A A Landscaping,Bothell WA,Landscaping,sms,11:00,800,+12062518199,,Bothell - same market as Antonio/Lustre,pending,,,,,,fu1_24h_swap_channel,2026-03-06 11:00
Q260305-021,P3-SMS-AFTERNOON,3,nosite-006,Home-Crafters-Handyman,Kirkland WA,Handyman,sms,13:00,600,+12062356574,,Kirkland local handyman,pending,,,,,,fu1_24h_swap_channel,2026-03-06 13:00
Q260305-022,P3-SMS-AFTERNOON,3,nosite-007,Half-Price Handyman,Kirkland WA,Handyman,sms,13:05,600,+14252698545,,Value positioning - budget-conscious clients,pending,,,,,,fu1_24h_swap_channel,2026-03-06 13:05
Q260305-023,P3-SMS-AFTERNOON,3,nosite-008,R & S Cleaning Services,Redmond WA,House Cleaning,sms,13:10,500,+14257803018,,Redmond residential cleaning,pending,,,,,,fu1_24h_swap_channel,2026-03-06 13:10
Q260305-024,P3-SMS-AFTERNOON,3,nosite-023,Handy-Den,Tacoma WA,Handyman,sms,13:15,600,+12532302928,,Has contact name Den - personalize message,pending,,,,,,fu1_24h_swap_channel,2026-03-06 13:15
Q260305-025,P3-SMS-AFTERNOON,3,nosite-049,Valle Landscaping,Phoenix AZ,Landscaping,sms,13:20,800,+14808069550,,Phoenix landscaping,pending,,,,,,fu1_24h_swap_channel,2026-03-06 13:20
Q260305-026,P3-SMS-AFTERNOON,3,nosite-050,Valley Landscaping,Phoenix AZ,Landscaping,sms,13:25,800,+16234864922,,Phoenix metro landscaping,pending,,,,,,fu1_24h_swap_channel,2026-03-06 13:25
Q260305-027,P3-SMS-AFTERNOON,3,nosite-055,Tony Handyman Survives,Phoenix AZ,Handyman,sms,14:00,600,+14807407144,,Has contact name Tony,pending,,,,,,fu1_24h_swap_channel,2026-03-06 14:00
Q260305-028,P3-SMS-AFTERNOON,3,nosite-056,Rick The Handyman,Phoenix AZ,Handyman,sms,14:05,600,+16022004521,,Has contact name Rick,pending,,,,,,fu1_24h_swap_channel,2026-03-06 14:05
Q260305-029,P3-SMS-AFTERNOON,3,nosite-057,Manny Handyman Svcs,Phoenix AZ,Handyman,sms,14:10,600,+14804508097,,Has contact name Manny,pending,,,,,,fu1_24h_swap_channel,2026-03-06 14:10
Q260305-030,P3-SMS-AFTERNOON,3,nosite-061,JV Pool Services,Dallas TX,Pool & Hot Tub Service,sms,14:00,700,+12149294278,,Dallas pool service market,pending,,,,,,fu1_24h_swap_channel,2026-03-06 14:00
Q260305-031,P4-LATE-AFTERNOON,4,nosite-052,CC Landscaping,Phoenix AZ,Landscaping,sms,15:00,800,+16233249775,,Phoenix landscaping service,pending,,,,,,fu1_24h_swap_channel,2026-03-06 15:00
Q260305-032,P4-LATE-AFTERNOON,4,nosite-053,RB Landscaping Service,Phoenix AZ,Landscaping,sms,15:05,800,+14805408509,,Landscape design services,pending,,,,,,fu1_24h_swap_channel,2026-03-06 15:05
Q260305-033,P4-LATE-AFTERNOON,4,nosite-101,Cedar Fencing Plus,Portland OR,Fencing,sms,15:10,900,+15032446216,,Portland fencing market,pending,,,,,,fu1_24h_swap_channel,2026-03-06 15:10
Q260305-034,P4-LATE-AFTERNOON,4,nosite-102,Austins Custom Fencing,Portland OR,Fencing,sms,15:15,900,+15037626010,,Custom fencing - premium positioning,pending,,,,,,fu1_24h_swap_channel,2026-03-06 15:15
Q260305-035,P4-LATE-AFTERNOON,4,nosite-115,Ace Fencing,Las Vegas NV,Fencing,sms,15:20,900,+17025688330,,Las Vegas market,pending,,,,,,fu1_24h_swap_channel,2026-03-06 15:20
Q260305-036,P4-LATE-AFTERNOON,4,wave3-002,Nash Auto Repair,Milwaukee WI,Auto Repair,sms,15:30,800,+14143930200,,Milwaukee auto service,pending,,,,,,fu1_24h_swap_channel,2026-03-06 15:30
Q260305-037,P4-LATE-AFTERNOON,4,wave3-047,Electrical Solutions,Oklahoma City OK,Electrical,sms,15:45,1000,+14057940200,,OKC electrical services,pending,,,,,,fu1_24h_swap_channel,2026-03-06 15:45
Q260305-038,P4-LATE-AFTERNOON,4,nosite-116,Bachman Lawn Care,Kansas City MO,Lawn Care,sms,16:00,700,+18165508823,,Kansas City lawn care,pending,,,,,,fu1_24h_swap_channel,2026-03-06 16:00
Q260305-039,P4-LATE-AFTERNOON,4,wave3-006,Garrico Plumbing,Raleigh NC,Plumbing,sms,16:00,900,+19199108013,,Raleigh plumbing market,pending,,,,,,fu1_24h_swap_channel,2026-03-06 16:00
Q260305-040,P4-LATE-AFTERNOON,4,wave3-007,Dazco Plumbing,Raleigh NC,Plumbing,sms,16:05,900,+19197878256,,Raleigh plumbing service,pending,,,,,,fu1_24h_swap_channel,2026-03-06 16:05
