queue_id,priority,batch,scheduled_pt,local_tz,lead_id,client,service,est_value,channel_primary,channel_secondary,destination,template_id,personalization_hook,cta,expected_log_event,owner,status
2026-03-05-C01,P2,Batch-C,13:05,PT,wa-google-001,PNW Landscaping & Services,Landscaping,800,sms,call,(206) 922-9440,SMS-NOSITE-01,"Seattle landscaping with no-site risk",Want a free one-page site preview?,reply_yes_or_call,john,queued
2026-03-05-C02,P2,Batch-C,13:08,PT,nosite-001,Perez Landscaping,Landscaping,800,sms,call,(206) 602-9766,SMS-NOSITE-01,"SeaTac landscaping lead missing web presence",Want a free one-page site preview?,reply_yes_or_call,john,queued
2026-03-05-C03,P2,Batch-C,13:11,PT,nosite-004,Northwest Landscape and Patio Bellevue,Landscaping,800,sms,call,(425) 390-4959,SMS-NOSITE-01,"Bellevue landscaping + patio services",Want a free one-page site preview?,reply_yes_or_call,john,queued
2026-03-05-C04,P2,Batch-C,13:14,PT,wa-google-003,Joc's Landscaping,Landscaping/Lawn Care,750,sms,call,(425) 791-1800,SMS-NOSITE-01,"Everett landscaping; directory says no website",Want a free one-page site preview?,reply_yes_or_call,john,queued
2026-03-05-C05,P2,Batch-C,13:17,PT,wa-google-007,The Honest Handyman & Hauling LLC,Handyman,700,sms,call,(503) 765-2489,SMS-NOSITE-01,"Vancouver handyman + hauling service",Want a free one-page site preview?,reply_yes_or_call,john,queued
2026-03-05-C06,P2,Batch-C,13:20,PT,nosite-023,Handy-Den,Handyman,600,sms,call,(253) 230-2928,SMS-NOSITE-01,"Named owner (Den) supports personalization",Want a free one-page site preview?,reply_yes_or_call,john,queued
2026-03-05-C07,P2,Batch-C,13:23,PT,nosite-006,Home-Crafters-Handyman,Handyman,600,sms,call,(206) 235-6574,SMS-NOSITE-01,"Kirkland handyman with direct phone",Want a free one-page site preview?,reply_yes_or_call,john,queued
2026-03-05-C08,P2,Batch-C,13:26,PT,nosite-007,Half-Price Handyman,Handyman,600,sms,call,(425) 269-8545,SMS-NOSITE-01,"Value-positioned handyman offer",Want a free one-page site preview?,reply_yes_or_call,john,queued
2026-03-05-D01,P3,Batch-D,15:10,PT,wa-google-005,Environment West Landscape Services,Landscaping,1000,sms,call,(509) 921-5555,SMS-NOSITE-01,"Spokane landscaping; verify website at send",Want a free one-page site preview?,reply_yes_or_call,john,queued
2026-03-05-D02,P3,Batch-D,15:13,PT,wa-google-006,Keith's Lawn & Landscape,Landscaping,750,sms,call,(509) 466-5938,SMS-NOSITE-01,"Spokane lawn + landscape lead",Want a free one-page site preview?,reply_yes_or_call,john,queued
2026-03-05-D03,P3,Batch-D,15:16,PT,nosite-061,JV Pool Services,Pool & Hot Tub Service,700,sms,call,(214) 929-4278,SMS-NOSITE-01,"Dallas pool service, strong recurring-service fit",Want a free one-page site preview?,reply_yes_or_call,john,queued
2026-03-05-D04,P3,Batch-D,15:19,PT,nosite-109,San Diego Heating and Cooling,HVAC,900,sms,call,(619) 443-2665,SMS-NOSITE-01,"HVAC lead high value + emergency-intent market",Want a free one-page site preview?,reply_yes_or_call,john,queued
2026-03-05-D05,P3,Batch-D,15:22,PT,nosite-101,Cedar Fencing Plus,Fencing,800,sms,call,(503) 244-6216,SMS-NOSITE-01,"Portland fencing with direct phone",Want a free one-page site preview?,reply_yes_or_call,john,queued
2026-03-05-D06,P3,Batch-D,15:25,PT,nosite-115,Ace Fencing,Fencing,800,sms,call,(702) 568-8330,SMS-NOSITE-01,"Las Vegas fencing lead no-site angle",Want a free one-page site preview?,reply_yes_or_call,john,queued
2026-03-05-D07,P3,Batch-D,15:28,PT,nosite-116,Bachman Lawn Care,Landscaping/Lawn Care,700,sms,call,(816) 550-8823,SMS-NOSITE-01,"Kansas City lawn care lead",Want a free one-page site preview?,reply_yes_or_call,john,queued
2026-03-05-D08,P3,Batch-D,15:31,PT,wa-google-004,Family Lawn Services,Lawn Care,700,sms,call,(360) 961-2955,SMS-NOSITE-01,"Everett lawn care with phone",Want a free one-page site preview?,reply_yes_or_call,john,queued
